messages,clean_text,label
"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a ï¿½1500 Bonus Prize, call 09066364589",valued customer pleased advise following recent review mob awarded 1500 bonus prize call 09066364589,spam
"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...""",today song dedicated day song dedicate send ur valuable frnds first rply,ham
"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or ï¿½1000. To claim txt DIS to 87121 18+6*ï¿½1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",urgent ur awarded complimentary trip eurodisinc trav aco entry41 1000 claim txt dis 87121 18 6 1 50 morefrmmob shracomorsglsuplt 10 ls1 3aj,spam
"Did you hear about the new \Divorce Barbie\""? It comes with all of Ken's stuff!""",hear new divorce barbie come ken stuff,spam
I plane to give on this month end.,plane give month end,ham
Wah lucky man... Then can save money... Hee...,wah lucky man save money hee,ham
Finished class where are you.,finished class,ham
HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,hi babe im home wan na something xx,ham
K..k:)where are you?how did you performed?,k k performed,ham
U can call me now...,call,ham
I am waiting machan. Call me once you free.,waiting machan call free,ham
Thats cool. i am a gentleman and will treat you with dignity and respect.,thats cool gentleman treat dignity respect,ham
I like you peoples very much:) but am very shy pa.,like people much shy pa,ham
Does not operate after  &lt;#&gt;  or what,operate lt gt,ham
Its not the same here. Still looking for a job. How much do Ta's earn there.,still looking job much ta earn,ham
"Sorry, I'll call later",sorry call later,ham
K. Did you call me just now ah? ,k call ah,ham
Ok i am on the way to home hi hi,ok way home hi hi,ham
You will be in the place of that man,place man,ham
Yup next stop.,yup next stop,ham
"I call you later, don't have network. If urgnt, sms me.",call later network urgnt sm,ham
For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,real getting yo need 2 ticket one jacket done already used multis,ham
Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,yes started send request make pain came back back bed double coin factory got ta cash nitros,ham
I'm really not up to it still tonight babe,really still tonight babe,ham
"Ela kano.,il download, come wen ur free..",ela kano il download come wen ur free,ham
Yeah do! Donï¿½ï¿½ï¿½t stand to close tho- youï¿½ï¿½ï¿½ll catch something!,yeah stand close tho catch something,ham
Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,sorry pain ok meet another night spent late afternoon casualty mean done stuff42moro includes time sheet sorry,ham
Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,smile pleasure smile pain smile trouble pours like rain smile sum1 hurt smile becoz someone still love see smiling,ham
Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed ï¿½1000 cash or ï¿½5000 prize!,please call customer service representative 0800 169 6031 10am 9pm guaranteed 1000 cash 5000 prize,spam
Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,havent planning buy later check already lido got 530 show e afternoon finish work already,ham
"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML",free ringtone waiting collected simply text password mix 85069 verify get usher britney fml,spam
Watching telugu movie..wat abt u?,watching telugu movie wat abt,ham
i see. When we finish we have loads of loans to pay,see finish load loan pay,ham
"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?\""
ham""",hi wk ok hols yes bit run forgot hairdresser appointment four need get home n shower beforehand cause prob ham,ham
Please don't text me anymore. I have nothing else to say.,please text anymore nothing else say,ham
Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,okay name ur price long legal wen pick ave x am xx,ham
I'm still looking for a car to buy. And have not gone 4the driving test yet.,still looking car buy gone 4the driving test yet,ham
As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,per request melle melle oru minnaminunginte nurungu vettam set callertune caller press 9 copy friend callertune,ham
"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",wow right mean guess gave boston men changed search location nyc something changed cuz signin page still say boston,ham
Umma my life and vava umma love you lot dear,umma life vava umma love lot dear,ham
Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,thanks lot wish birthday thanks making birthday truly memorable,ham
"Aight, I'll hit you up when I get some cash",aight hit get cash,ham
How would my ip address test that considering my computer isn't a minecraft server,would ip address test considering computer minecraft server,ham
I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,know grumpy old people mom like better lying always one play joke,ham
Dont worry. I guess he's busy.,dont worry guess busy,ham
What is the plural of the noun research?,plural noun research,ham
Going for dinner.msg you after.,going dinner msg,ham
I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,ok wif co like 2 try new thing scared dun like mah co said loud,ham
GENT! We are trying to contact you. Last weekends draw shows that you won a ï¿½1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,gent trying contact last weekend draw show 1000 prize guaranteed call 09064012160 claim code k52 valid 12hrs 150ppm,spam
"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",wa ur openin sentence formal anyway fine juz tt eatin much n puttin weight haha anythin special happened,ham
"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",entered cabin pa said happy b day bos felt special askd 4 lunch lunch invited apartment went,ham
You are a winner U have been specially selected 2 receive ï¿½1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,winner specially selected 2 receive 1000 4 holiday flight inc speak live operator 2 claim 0871277810910p min 18,spam
Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,goodo yes must speak friday egg potato ratio tortilla needed,ham
Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,hmm uncle informed paying school directly please buy food,ham
PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,private 2004 account statement 07742676969 show 786 unredeemed bonus point claim call 08719180248 identifier code 45239 expires,spam
"URGENT! Your Mobile No. was awarded ï¿½2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",urgent mobile awarded 2000 bonus caller prize 5 9 03 final try contact call landline 09064019788 box42wr29c 150ppm,spam
here is my new address -apples&pairs&all that malarky,new address apple pair malarky,ham
Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,today voda number ending 7548 selected receive 350 award match please call 08712300220 quoting claim code 4041 standard rate app,spam
I am going to sao mu today. Will be done only at 12 ,going sao mu today done 12,ham
ï¿½ï¿½ predict wat time ï¿½_'ll finish buying?,predict wat time finish buying,ham
"Good stuff, will do.",good stuff,ham
"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",know yetunde sent money yet sent text bother sending dont involve anything imposed anything first place apologise,ham
Are you there in room.,room,ham
HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,hey girl hope well del bak long time c give call sum time lucyxx,ham
K..k:)how much does it cost?,k k much cost,ham
I'm home.,home,ham
"Dear, will call Tmorrow.pls accomodate.",dear call tmorrow please accomodate,ham
First answer my question.,first answer question,ham
Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. ï¿½1.50 SP:Tyrone,sunshine quiz wkly q win top sony dvd player know country algarve txt ansr 82277 1 50 sp tyrone,spam
Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,want 2 get laid tonight want real dogging location sent direct 2 ur mob join uk largest dogging network bt txting gravel 69888 nt ec2a 31p msg 150p,spam
I only haf msn. It's yijue@hotmail.com,haf msn yijue hotmail com,ham
He is there. You call and meet him,call meet,ham
No no. I will check all rooms befor activities,check room befor activity,ham
You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,rcv msg chat svc free hardcore service text go 69988 get nothing must age verify yr network try,spam
Got c... I lazy to type... I forgot ï¿½_ in lect... I saw a pouch but like not v nice...,got c lazy type forgot lect saw pouch like v nice,ham
"K, text me when you're on the way",k text way,ham
"Sir, Waiting for your mail.",sir waiting mail,ham
"A swt thought: \Nver get tired of doing little things 4 lovable persons..\"" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8""",swt thought nver get tired little thing 4 lovable person coz somtimes little thing occupy biggest part heart gud ni8,ham
I know you are. Can you pls open the back?,know please open back,ham
Yes see ya not on the dot,yes see ya dot,ham
Whats the staff name who is taking class for us?,whats staff name taking class u,ham
"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",freemsg replied text randy sexy female live local luv hear netcollex ltd 08700621170150p per msg reply stop end,spam
Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,ummma call check life begin qatar please pray hard,ham
K..i deleted my contact that why?,k deleted contact,ham
Sindu got job in birla soft ..,sindu got job birla soft,ham
The wine is flowing and i'm i have nevering..,wine flowing nevering,ham
Yup i thk cine is better cos no need 2 go down 2 plaza mah.,yup thk cine better co need 2 go 2 plaza mah,ham
Ok... Ur typical reply...,ok ur typical reply,ham
As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,per request melle melle oru minnaminunginte nurungu vettam set callertune caller press 9 copy friend callertune,ham
"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",everywhere dirt floor window even shirt sometimes open mouth come flowing dream world without half chore time joy lot tv show see guess like thing must exist like rain hail mist time done become one,ham
Aaooooright are you at work?,aaooooright work,ham
I'm leaving my house now...,leaving house,ham
"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",hello love get interview today happy good boy think missing,ham
Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,customer service annoncement new year delivery waiting please call 07046744435 arrange delivery,spam
You are a winner U have been specially selected 2 receive ï¿½1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,winner specially selected 2 receive 1000 cash 4 holiday flight inc speak live operator 2 claim 0871277810810,spam
Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,keep safe need miss already envy everyone see real life,ham
New car and house for my parents.:)i have only new job in hand:),new car house parent new job hand,ham
I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,love excited day spend make happy,ham
-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,please stop bootydelious 32 f inviting friend reply yes 434 434 see www sm ac bootydelious stop send stop frnd 62468,spam
"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",bangbabes ur order way receive service msg 2 download ur content goto wap bangb tv ur mobile internet service menu,spam
I place all ur points on e cultures module already.,place ur point e culture module already,ham
URGENT! We are trying to contact you. Last weekends draw shows that you have won a ï¿½900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,urgent trying contact last weekend draw show 900 prize guaranteed call 09061701939 claim code s89 valid 12hrs,spam
"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",hi frnd best way avoid missunderstding wit beloved one,ham
Great escape. I fancy the bridge but needs her lager. See you tomo ,great escape fancy bridge need lager see tomo,ham
Yes :)it completely in out of form:)clark also utter waste.,yes completely form clark also utter waste,ham
"Sir, I need AXIS BANK account no and bank address.",sir need axis bank account bank address,ham
"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... ",hmmm thk sure got time hop ard ya go 4 free abt muz call discus liao,ham
What time you coming down later? ,time coming later,ham
"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... ",bloody hell cant believe forgot surname mr ill give clue spanish begin,ham
"Well, i'm gonna finish my bath now. Have a good...fine night.",well gon na finish bath good fine night,ham
Let me know when you've got the money so carlos can make the call,let know got money carlos make call,ham
U still going to the mall?,still going mall,ham
"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth",turn friend staying whole show back til lt gt feel free go ahead smoke lt gt worth,ham
Text her. If she doesnt reply let me know so i can have her log in,text doesnt reply let know log,ham
Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,hi spoke maneesha v like know satisfied experience reply toll free yes,ham
You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,lifted hope offer money need especially end month approach hurt studying anyways great weekend,ham
Lol no. U can trust me.,laughing loud trust,ham
ok. I am a gentleman and will treat you with dignity and respect.,ok gentleman treat dignity respect,ham
"He will, you guys close?",guy close,ham
Going on nothing great.bye,going nothing great bye,ham
Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,hello handsome finding job lazy working towards getting back net mummy boytoy miss,ham
"Haha awesome, be there in a minute",haha awesome minute,ham
Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed ï¿½1000 cash or ï¿½5000 prize!,please call customer service representative freephone 0808 145 4742 9am 11pm guaranteed 1000 cash 5000 prize,spam
Have you got Xmas radio times. If not i will get it now,got xmas radio time get,ham
I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...,jus reached home go bathe first si using net tell finish k,ham
Are you unique enough? Find out from 30th August. www.areyouunique.co.uk,unique enough find 30th august www areyouunique co uk,spam
I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|,sorry joined league people dont keep touch mean great deal friend time even great personal cost great week,ham
Hi :)finally i completed the course:),hi finally completed course,ham
It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.,stop however suggest stay someone able give or every stool,ham
How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,hope settled new school year wishin great day,ham
Gud mrng dear hav a nice day,gud mrng dear hav nice day,ham
Did u got that persons story,got person story,ham
is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt? ,hamster dead hey tmr meet 1pm orchard mrt,ham
Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx,hi kate evening hope see tomorrow bit bloody babyjontet txt back xxx,ham
"Found it, ENC  &lt;#&gt; , where you at?",found enc lt gt,ham
I sent you  &lt;#&gt;  bucks,sent lt gt buck,ham
Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx,hello darlin ive finished college txt finish love kate xxx,ham
Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,account refilled successfully inr lt decimal gt keralacircle prepaid account balance r lt decimal gt transaction id kr lt gt,ham
Goodmorning sleeping ga.,goodmorning sleeping ga,ham
U call me alter at 11 ok.,call alter 11 ok,ham
ï¿½ï¿½ say until like dat i dun buy ericsson oso cannot oredi lar...,say like dat dun buy ericsson oso oredi lar,ham
"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",entered cabin pa said happy b day bos felt special askd 4 lunch lunch invited apartment went,ham
"Aight yo, dats straight dogg",aight yo dat straight dogg,ham
You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill,please give u connection today lt decimal gt refund bill,ham
Both :) i shoot big loads so get ready!,shoot big load get ready,ham
"What's up bruv, hope you had a great break. Do have a rewarding semester.",bruv hope great break rewarding semester,ham
Home so we can always chat,home always chat,ham
K:)k:)good:)study well.,k k good study well,ham
Yup... How ï¿½_ noe leh...,yup noe leh,ham
Sounds great! Are you home now?,sound great home,ham
Finally the match heading towards draw as your prediction.,finally match heading towards draw prediction,ham
Tired. I haven't slept well the past few nights.,tired slept well past night,ham
Easy ah?sen got selected means its good..,easy ah sen got selected mean good,ham
I have to take exam with march 3,take exam march 3,ham
Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.,yeah think use gt atm register sure anyway help let know sure ready,ham
Ok no prob. Take ur time.,ok prob take ur time,ham
There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..,o called ubandu run without installing hard disk use o copy important file system give repair shop,ham
"Sorry, I'll call later",sorry call later,ham
U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.,say leh course nothing happen lar say v romantic jus bit lor thk e nite scenery nice leh,ham
"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY ï¿½1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18",500 new mobile 2004 must go txt nokia 89545 collect today 1 www 4 tc biz 2optout 087187262701 50gbp mtmsg18,spam
Would really appreciate if you call me. Just need someone to talk to.,would really appreciate call need someone talk,ham
"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES",meet ur dream partner soon ur career 2 flyng start 2 find free txt horo followed ur star sign e g horo aries,spam
Hey company elama po mudyadhu.,hey company elama po mudyadhu,ham
"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . .",life strict teacher bcoz teacher teach lesson amp conduct exam life first conduct exam amp teach lesson happy morning,ham
Dear good morning now only i am up,dear good morning,ham
Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.,get gandhipuram walk cross cut road right side lt gt street road turn first right,ham
Dear we are going to our rubber place,dear going rubber place,ham
"Sorry battery died, yeah I'm here",sorry battery died yeah,ham
Yes:)here tv is always available in work place..,yes tv always available work place,ham
Text & meet someone sexy today. U can find a date or even flirt its up to U. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence,text meet someone sexy today find date even flirt join 4 10p reply name age eg sam 25 18 msg recd thirtyeight penny,spam
I have printed it oh. So  &lt;#&gt;  come upstairs,printed oh lt gt come upstairs,ham
Or ill be a little closer like at the bus stop on the same street,ill little closer like bus stop street,ham
Where are you?when wil you reach here?,wil reach,ham
